8.494208494208494642e+01 5.674506831214094404e+01 1.000000000000000000e+02
9.680284191829483120e+01 6.617435755733627900e+01 1.090000000000000000e+02
7.601809954751131215e+01 5.314614974744208098e+01 8.400000000000000000e+01
1.025645756457564630e+02 6.933716690042075470e+01 1.090000000000000000e+02
1.061437908496731950e+02 7.347582734531088988e+01 1.120000000000000000e+02
9.633333333333331439e+01 6.568056099939070691e+01 1.020000000000000000e+02
1.127388535031847141e+02 7.768366031131989757e+01 1.180000000000000000e+02
1.391406250000000000e+02 9.289910770865060385e+01 1.370000000000000000e+02
8.929602888086641599e+01 6.298495206582877870e+01 9.700000000000000000e+01
1.105769230769230944e+02 7.564631021152759160e+01 1.150000000000000000e+02
1.173076923076923066e+02 8.059288490917126069e+01 1.220000000000000000e+02
9.522686025408347632e+01 6.472796907525972188e+01 9.900000000000000000e+01
1.337941628264208873e+02 9.043588498076907456e+01 1.300000000000000000e+02
1.538173652694610780e+02 1.047442279942279981e+02 1.370000000000000000e+02
1.491044776119402968e+02 1.029337231968810897e+02 1.350000000000000000e+02
1.399655172413793025e+02 9.225069465884531894e+01 1.230000000000000000e+02
1.476038338658147211e+02 9.802747252747252560e+01 1.320000000000000000e+02
1.248947368421052602e+02 8.533911414192030520e+01 1.130000000000000000e+02
1.643518518518518476e+02 1.092732793522267229e+02 1.420000000000000000e+02
1.184351145038168056e+02 8.045944678856071164e+01 1.070000000000000000e+02
1.413680781758957608e+02 9.526739083701107802e+01 1.240000000000000000e+02
1.326689189189189051e+02 8.835126723490304812e+01 1.190000000000000000e+02
1.340128410914927883e+02 9.206903738549308969e+01 1.210000000000000000e+02
1.429260450160771825e+02 9.709476683160893629e+01 1.270000000000000000e+02
1.465234375000000000e+02 9.280440822609497786e+01 1.210000000000000000e+02
1.474358974358974592e+02 9.758322758322758261e+01 1.250000000000000000e+02
1.510344827586206975e+02 1.023587202271412764e+02 1.320000000000000000e+02
1.603606557377049171e+02 1.042500000000000000e+02 1.340000000000000000e+02
1.378091872791519563e+02 9.143605285013020989e+01 1.200000000000000000e+02
1.609756097560975547e+02 1.077859435567326898e+02 1.320000000000000000e+02
1.534351145038167772e+02 1.054330725462304486e+02 1.340000000000000000e+02
1.473298429319371792e+02 9.893028024606971371e+01 1.260000000000000000e+02
1.587408491947291509e+02 1.089245889245889174e+02 1.390000000000000000e+02
1.385185185185185048e+02 9.318592799605457344e+01 1.210000000000000000e+02
1.426307448494453070e+02 9.741862348178136699e+01 1.250000000000000000e+02
1.981451612903225623e+02 1.165789290243160963e+02 1.080000000000000000e+02
2.266930693069307097e+02 1.507415040333073080e+02 1.080000000000000000e+02
2.781818181818181301e+02 1.723232323232323324e+02 1.080000000000000000e+02
